game_id,tool,repairs,mission_failures_damaged
4e3256999140866b,VESSEL,0,0
a51db0afb01cfe3f,KNIFE,0,0
a51db0afb01cfe3f,VESSEL,0,0
cf9697cce5653037,KNIFE,0,0
cf9697cce5653037,VESSEL,1,0
f72109d49d2a01db,KNIFE,1,2
f72109d49d2a01db,VESSEL,0,0
e73f85c8b97e91d2,KNIFE,0,0
e73f85c8b97e91d2,VESSEL,1,0
587a4a0a26fab537,KNIFE,1,0
587a4a0a26fab537,VESSEL,1,0
055644a0e05eab10,KNIFE,0,0
055644a0e05eab10,VESSEL,0,0
9e7ecbe5d69f56d2,KNIFE,0,0
9e7ecbe5d69f56d2,VESSEL,0,2
29275d71481b3400,KNIFE,1,0
29275d71481b3400,VESSEL,0,0
191b46df8ffd11d2,KNIFE,1,0
191b46df8ffd11d2,VESSEL,0,0
85de9c9c0602bb78,KNIFE,0,2
85de9c9c0602bb78,VESSEL,0,0
c5e5b7a20382e3d4,KNIFE,1,0
c5e5b7a20382e3d4,VESSEL,0,0
c6a47d3dcaa20301,KNIFE,0,0
c6a47d3dcaa20301,VESSEL,0,0
8feda6c7a7806928,KNIFE,0,0
8feda6c7a7806928,VESSEL,0,0
49c67eb9e1abf063,KNIFE,1,0
49c67eb9e1abf063,VESSEL,0,0
60a2db69ab3c6ea9,KNIFE,2,0
60a2db69ab3c6ea9,VESSEL,0,0
ea8290e64c96fc1d,KNIFE,0,0
ea8290e64c96fc1d,VESSEL,1,0
813505a3619bcc1d,KNIFE,1,1
813505a3619bcc1d,VESSEL,0,0
1b0f7c5971df97d8,KNIFE,0,0
1b0f7c5971df97d8,VESSEL,0,0
912c82d518f49854,KNIFE,0,0
912c82d518f49854,VESSEL,0,0
81884a4cf0b28227,KNIFE,0,0
81884a4cf0b28227,VESSEL,0,0
85ac671a5830d439,KNIFE,2,0
85ac671a5830d439,VESSEL,1,3
c4ccf657b6289259,KNIFE,1,0
c4ccf657b6289259,VESSEL,1,3
5ad806227ecde196,KNIFE,0,0
5ad806227ecde196,VESSEL,0,0
d10c1e2e4f3f4a3b,KNIFE,0,0
d10c1e2e4f3f4a3b,VESSEL,0,0
e4561e68fd8c5482,KNIFE,0,0
e4561e68fd8c5482,VESSEL,1,0
6df76165038c383d,KNIFE,0,0
6df76165038c383d,VESSEL,0,0
93c09e77d969d31a,KNIFE,0,0
93c09e77d969d31a,VESSEL,1,0
fa4d85e21f9a6d68,KNIFE,1,0
fa4d85e21f9a6d68,VESSEL,0,0
ee8972b3c2eee64b,KNIFE,0,0
ee8972b3c2eee64b,VESSEL,1,0
ba33b784ffaf680e,KNIFE,1,1
